No.,Target,Significant --regex,Best Match Score,Best Match,Best Match Path,2nd Match Score,2nd Match,2nd Match Path,3rd Match Score,3rd Match,3rd Match Path
1,grinnell_3601,None,33,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600281.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600271.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
2,grinnell_3611,None,27,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600281.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600271.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
3,,None,0,NO match,NO match
4,grinnell_5759,None,33,dg_1712600259.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,32,dg_1712600259.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,32,dg_1712600259.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
5,grinnell_5760,None,33,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
6,grinnell_4962,None,27,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
7,dg_1712600285,None,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
8,dg_1711472907,None,60,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,53,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,53,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
9,dg_1712600284,None,95,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
10,dg_1712600287,None,95,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
11,dg_1712600259,None,95,dg_1712600259.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600259.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600259.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
12,dg_1712600280,None,95,dg_1712600280.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
13,dg_1712600288,None,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
14,dg_1712600290,None,95,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
15,dg_1712600263,None,95,dg_1712600263.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600263.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600263.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
16,grinnell_5003,None,33,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600273.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600263.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
17,dg_1712600283,None,95,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
18,dg_1711470539,None,60,dg_1712600259.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,58,dg_1712600259.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,58,dg_1712600259.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
19,dg_1712600278,None,95,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600278.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600278.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
